Column1,law_no,main,middle,small,question,answer
10,212119001,임금,평균임금,평균임금 산정,중도 퇴직자에게 월 만근시 급여 전액을 지급한 경우 평균임금은 어떻게 산정하나요,"월의 중도에 퇴직하더라도 당해 월의 보수 전액을 지급한다는 취업규칙상의 규정은 퇴직하는 근로자에 대한 임금 계산에 있어서의 정책적·은혜적 배려가 포함된 취지의 규정으로 보아야 할 것이지, 퇴직하는 근로자에게 실제 근무일수와 무관하게 퇴직 당해 월의 임금을 인상하여 전액 지급한다는 취지는 아니라고 할 것이므로, 퇴직 당해 월의 보수 전액을 퇴직 직전일로부터 최종 3개월간에 지급된 급여액에 산입하여 평균임금을 산정하고 이를 기초로 퇴직금을 산출할 수는 없습니다(대법97다5015, 1999.5.12.)."
11,210017001,임금,퇴직금,퇴직금 계속근로기간,"회사 규정에 근로자 개인의 사정에 따른 휴직(법정 보장 휴직 제외)에 대하여 근속기간에서 제외한다고 되어 있을 경우, 이러한 휴직기간을 퇴직금 산정을 위한 계속근로기간에서 제외할 수 있나요","퇴직금 산정을 위한 계속근로기간은 동일한 사용자와 계속해서 사용종속관계를 유지하면서 근로를 제공하는 것을 말하여 사업주의 승인 하에 이루어진 일시 휴직상태도 포함됨. 다만, 유학 등 근로자 개인의 사정에 의한 휴직기간에 대하여 단체협약 또는 취업규칙 등의 규정으로 퇴직금 산정을 위한 계속근로기간에 합산하지 아니할 수 있습니다(임금복지과-1294, 2010.6.11.)."
12,214488001,임금,노동 일반,근로계약,정년60세 규정은 정년이 만60세가 되는 연말까지 일을 할 수 있다는 의미인가요,"법에서 정하고 있는 '60세 이상 정년'은 '만 60세'를 의미하며, 최소한 만 60세 생일이 되는 날까지는 근로자를 고용하여야 한다는 의미이지만, 만 60세 생일이 되는 날은 최소 기준이므로, 단체협약이나 취업규칙 등에서 ""정년에 도달한 날이 속한 달의 말일"" 또는 ""정년에 도달한 연도의 말일"" 등으로 정년퇴직일을 자유롭게 정할 수 있습니다."
13,202921002,임금,통상임금,,가족수당이 통상임금에 속하나요?,"이러한 명목의 수당이 근로의 양 및 질과는 무관한 요인에 따라 일반적으로 부양가족의 숫자 등을 지급조건 및 지급기준으로 하고 있어 근로자의 일부에 대하여 지급되고 있다면, 이는 통상임금의 범위에서 제외됩니다."
14,202154002,임금,임금일반,,군복무로 인해 휴직한 기간도 퇴직금 산정할 때 계속근로연수로 포함되나요?,"구 병역법에 의하면 군복무기간은 퇴직금 산정기준인 계속근로연수에 포함되나, 개정 병역법(1970. 12. 31.개정)에 의하면 군복무기간은 퇴직금 산정기준인 계속근로연수에는 포함되지 않습니다. 즉, 구 병역법(1962.10.1. 법률 제1163호) 제76조 제2항은 군인이 실역복무를 마치고 종전에 근무하던 직장에 복직한 경우에는 실역에 복무한 기간을 실무에 종사한 기간으로 본다고 규정하고 있었는데, 개정된 구 병역법(1970.12.31. 법률 제2259호) 제69조 제2항, 제3항에는 현역 또는 실역에 복무하게 되어 휴직된 자는 복무 후 직장에의 복직을 보장하고, 군복무로 인하여 휴직된 때에는 승진에 있어서는 복무기간을 실무의 종사기간으로 보아야 한다고 규정하고 있으므로, 위 개정된 병역법이 시행된 이후에는 휴직기간을 승진의 경우 이외에 퇴직금의 지급기간에까지 가산할 수는 없습니다(대법원 1993. 01. 15. 선고 92다41986 판결)"
15,213408001,해고,해고일반,,근로자가 사직서를 제출했으나 회사가 수락하지 않은 상태에서 근로자가 회사에 나오지 않고 있습니다. 무단결근으로 처리해도 되나요?,"근로자가 사직서를 제출하였는데도 회사가 수락하지 않고 있다면, 사직서 제출일로부터 한 달간은 근로계약이 유효하게 존속하므로(민법 제660조 제2항) 이 기간에 일방적으로 출근하지 않는 것으로 무단결근에 해당합니다. 또 결근에 따른 평균임금이 저하(퇴직금 감액)될 수 있습니다."
16,214276001,임금,퇴직금,퇴직금 계속근로기간,11개월 근로계약을 하고 한달 후에 다시 11개월을 계약하는 식으로 2년이 되지 않는 기간을 근로자와 근로계약을 한다면 퇴직금 지급의무가 없나요?,11개월 근로계약 종료 후 퇴사하지 않고 바로 재계약을 하여 1년 이상 근로한 경우에 퇴직금을 지급해 주지 않는다면 근로자퇴직급여보장법 위반이 됩니다. 하지만 근로계약기간의 만료로 근로관계가 유효하게 종료됐다가 일정기간 근무하지 않고 다시 채용된 경우 계속근로기간으로 인정받을 수 없어 퇴직금을 지급받을 수 없을 것으로 사료됩니다.
17,203644004,해고,징계,징계해고,회사 취업규칙에는 해고사유로 '금고 이상의 형의 판결을 받았을 때'라고 규정되어 있습니다. 그런데 근로자 한 명이 법원에서 징역형의 집행유예를 선고받은 경우라면 해고를 할 없는가요?,"취업규칙에 해고사유로서 '형사사건으로 기소된 자가 금고 이상의 형의 판결을 받았을 때'라는 규정을 두고 있는 취지는 기업 내의 다른 종업원과의 신뢰관계나 인간관계가 손상되어 직장질서의 유지를 저해하거나, 회사의 명예와 신용을 심히 훼손하거나 거래관계에까지 악영향을 미치게 되기 때문이기도 합니다. 따라서 여기서의 '금고 이상의 형의 판결'이 반드시 실형판결만을 의미한다고 단정할 수 없습니다. 공공성이 강한 사업과 같이 사업의 성격에 따라 위 취지에 부합하는 때라면 집행유예판결이라도 유죄의 확정판결을 받은 경우에 해당하여 징계해고사유가 될 수 있습니다."
18,214519001,해고,당연퇴직,,"취업규칙에 ‘휴직기간 중에 휴직사유가 소멸하지 아니하여, 휴직기간 종료일 7일 전까지 복직원을 제출하지 아니한 경우 당연퇴직한 것으로 한다.’라고 규정한 경우 유효한 규정이 될 수 있나요","휴직기간이 만료할 때까지 휴직사유가 해소되지 않아 근로관계가 종료되는 경우에도 이는 실질적으로 해고에 해당한다고 할 수 있습니다(대법 1993.11.9, 93다7464). 그러므로 해고의 정당한 사유가 있어야 하는 바, 그 정당성의 유무는 종업원의 휴직이 회사의 귀책사유 또는 업무상 부상으로 인한 것인지 여부, 종업원의 치료기간, 종업원의 장기휴직으로 말미암아 회사에 미치는 영향 등 제반 사정을 종합적으로 고려하여 합리적으로 판단하여야 합니다(대법 1993.7.13, 93다3721)."
19,211039002,임금,평균임금,평균임금 산정,"무급으로 질병 휴직 1개월을 한 뒤에 퇴직하였는데, 회사에서 퇴직금 산정을 위한 평균임금을 계산할 때 질병휴직 기간을 포함하였는데 근로기준법 위반 아닌가요","근로기준법 시행령 제2조는 평균임금 산정기간 중에 다음 각 호의 기간은 평균임금 산정기간에서 제외되도록 규정하고 있습니다. 1.법 제35조제5호에 따른 수습 사용 중인 기간, 2.법 제46조에 따른 사용자의 귀책사유로 휴업한 기간, 3.법 제74조에 따른 출산전후휴가 기간, 4.법 제78조에 따라 업무상 부상 또는 질병으로 요양하기 위하여 휴업한 기간, 5.「남녀고용평등과 일·가정 양립 지원에 관한 법률」 제19조에 따른 육아휴직 기간, 6.「노동조합 및 노동관계조정법」 제2조제6호에 따른 쟁의행위기간, 7.「병역법」, 「예비군법」 또는 「민방위기본법」에 따른 의무를 이행하기 위하여 휴직하거나 근로하지 못한 기간. 다만, 그 기간 중 임금을 지급받은 경우에는 그러하지 아니하다. 8. 업무 외 부상이나 질병, 그 밖의 사유로 사용자의 승인을 받아 휴업한 기간 등은 평균임금 산정기간에서 제외됩니다. 따라서 해당 기간을 제외한 나머지 3개월간 지급된 임금총액을 기준으로 평균임금을 산정하게 됩니다."
20,214541001,임금,평균임금,평균임금 산정,육아기 근로시간 단축을 사용한 후 퇴직하게 된 경우 퇴직금 산정은 어떻게 이루어져야 하나요,육아기 근로시간 단축을 한 근로자에 대하여 근로기준법 제2조 제6호에 따른 평균임금을 산정하는 경우에는 그 근로자의 육아기 근로시간 단축기간을 평균임금 산정기간에서 제외합니다(남녀고용평등법 제19조의3 제4항).
21,211925001,임금,노동 일반,퇴직금,임원이나 등기이사도 퇴직금을 받을 수 있나요?,퇴직금은 근로자에 해당하여야 법적인 지급의무가 있습니다. 근로자인지 여부는 직책의 명칭에 의하여 결정되는 것이 아니라 사용종속관계 하에서 근로를 제공하는지 여부에 따라 결정됩니다. 따라서 임원이나 등기이사라도 실질적으로 회사로부터 일정한 사무 처리의 위임을 받아 그 권한을 행사하고 있다면 근로자로 보기 어렵지만 단순히 직책상의 명칭에 불과할 뿐 실질적으로는 대표이사의 지휘?감독을 받고 임금을 목적으로 종속적인 관계에서 근로를 제공하고 있다면 근로자로 볼 수 있습니다.
22,201894001,임금,임금채권,,도의관념에 적합한 비채변제란 무슨 말인가요,"채무가 존재하지 않음에도 불구하고 변제했으나, 그 변제가 도의관념에 적합한 것인 때에는 반환청구를 할 수 없는 것을 말합니다(민법 제744조). 예컨대 시효로 소멸하였음에도 불구하고 그 사정을 모르고 채무를 변제한 경우 및 부양의무가 없는 친족을 부양한 경우 등이 이에 해당합니다."
23,210286001,임금,노동 일반,휴가,미사용 연차수당은 언제까지 청구할 수 있나요,연차유급휴가 미사용수당 청구권은 휴가청구권이 소멸한 직후의 임금지급일에 발생하며 청구권의 소멸시효는 휴가청구권이 소멸한 때로부터 3년입니다.
24,210320002,임금,노동 일반,휴가,"우리 회사는 토요일을 휴무일로 하고 있는데, 토요일을 연차휴가로 대체할 수 있나요","근로자 대표와의 서면합의가 없거나 근로일이 아닌 날에 휴무하게 하는 경우에는 연차유급휴가를 대체 사용한 것으로 볼 수 업습니다(근기 68207-1642, 2003. 12. 23.)."
25,213598001,임금,노동 일반,근로계약,수습으로 채용된 근로자가 업무적격성이 부족하여 수습기간 도중에 퇴사시키고자 하는 경우 서면통지가 필요한가요?,수습으로 채용된 근로자의 업무적격성이 부족하여 수습기간 도중이나 만료 후 퇴사시키고자 하는 경우에는 해고라 볼 수 있으므로 서면으로 사유와 일시를 기재하여 통보하여야 합니다(근로기준법 제27조).
26,214499001,임금,노동 일반,취업규칙,취업규칙에 있는 연차휴가규정에 관해 연차휴가 최고일 수의 제한을 두게 되어 변경을 하게 되었는데 근로자의 동의가 필요하나요,"취업규칙 변경내용이 근로조건인 연차유급휴가에 대한 내용이고, 이를 줄이는 내용이므로 불이익한 변경이며 이에 대한 변경을 위해서는 근로자과반수의 동의를 얻지 못하면 효력이 없다 할 것입니다."
27,201770003,임금,통상임금,,근속수당은 통상임금에 속하나요?,"근로의 양 또는 질에 무관하게 은혜적으로 지급하는 것이 아니라 일정 근속연수에 달한 자에게 실제의 근무성적과는 관계없이 매월 일정액을 지급하여 온 것이고, 정기적, 일률적으로 지급되는 고정적인 경우에는 통상임금에 해당합니다."
28,211320001,임금,노동 일반,취업규칙,"상시 4명의 근로자를 사용하는 사업장에서 취업규칙을 운영하고 있는데, 근로자에게 불리하게 변경하는 경우 근로자 과반수의 동의를 얻어야 하나요",상시 4명 이하의 근로자를 사용하는 사업장은 근로기준법 제9장의 취업규칙에 관한 규정이 적용되지 않으므로 사용자가 임의로 취업규칙을 작성?운영하더라도 근로기준법 제94조에 따른 불이익 변경 절차를 거칠 필요가 없습니다.
29,204335004,해고,해고일반,,해고무효확인의 소에 기간의 제한이 없으면 아무때나 소송을 제기할 수 있는 것인가요?,해고무효확인의 소에 대한 제소기간의 제한은 없습니다. 그러나 해고의 사실이 있은 후 오랜기간이 지난 후 소송을 제기할 경우 실효의 원칙이 적용되어 구제를 받을 수 없을 수도 있습니다.
30,200979001,해고,징계,징계해고,"부득이한 사유가 있어 결근에 대하여 미리 신고를 하여 승낙을 받았습니다. 그러나 결근계를 제출하지 않았다고 하여 무단결근으로 처리가 되었는데, 이를 다툴 수 있나요?","어떠한 경우가 무단결근으로 처리되는지에 대하여는 취업규칙 등의 복무규정내용을 확인해 보아야 합니다. 판례는 회사의 취업규칙이 3일 이상 무단결근을 징계해고사유의 하나로 규정하고, 종업원이 질병 또는 부득이한 사유로 출근하지 못하였을 때에는 정오까지 결근계를 제출하여야 하고, 결근계 또는 사유를 신고하여 인증을 받지 못한 때에는 무단결근으로 취급하되, 다만 부득이한 사유가 있을 때에는 전화 또는 구두로 신고하여 사전 승낙을 받고 후에 출근한 때에는 사유서를 첨부한 결근계를 제출하도록 규정하고 있는 경우에 근로자가 어떤 인편 또는 전화상으로 구두에 의한 결근신고를 하고 그에 대한 승인을 받았다고 하더라도 후일 출근시에 사유서가 첨부된 결근계를 제출하여 사후 승인을 받지 않았다면 무단결근으로 취급될 수 밖에 없다고 하였습니다.(대법원 1990.04.27. 선고 89다카5451 판결)"
31,213657001,임금,최저임금,최저임금 범위,최저임금에 산입되지 않는 수당은 구체적으로 무엇이 있나요?,"최저임금법 시행규칙 제2조에 따라 [별표1]을 보면 '가족수당·급식수당·주택수당·통근수당 등 근로자의 생활을 보조하는 수당 또는 식사, 기숙사·주택제공·통근차운행 등 현물이나 이와 유사한 형태로 지급되는 급여 등 근로자의 복리후생을 위한 성질의 것'은 최저임금에 산입되지 아니합니다."
32,211778001,임금,노동 일반,외국인 근로자,"외국인근로자 고용허가나 특례고용가능확인이 취소된 경우, 다음에 외국인근로자의 고용이 제한될수 있나요",사용자가 「외국인근로자의 고용 등에 관한 법률」에 따라 외국인근로자 고용허가나 특례고용가능확인이 취소된 경우 그 사실이 발생한 날부터 3년간 외국인근로자의 고용이 제한될 수 있습니다(「외국인근로자의 고용 등에 관한 법률」 제20조제1항 및 「외국인근로자의 고용 등에 관한 법률 시행령」 제25조).
33,212535001,임금,노동 일반,파견근로,근로자 파견사업의 허가를 받기 위해서 갖추어야 할 것은 무엇인가요,"근로자 파견사업의 허가를 받으려는 자의 인적요건이 결격사유에 해당하지 않아야 하고, 근로자 파견사업의 신청인이 물적요건으로 당해 사업을 적정하게 수행할 수 있는 자산 및 시설 등을 갖추어야 하며, 특정한 소수의 사용사업주를 대상으로 근로자 파견을 행하는 것이 아니어야 할 뿐만 아니라, 식품접객업, 숙박업, 결혼상담업 및 중매업을 겸업하지 않아야 합니다."
34,203955001,해고,징계,징계해고,징계양정이란 무엇인가요?,"징계혐의자의 비위 유형, 비위 정도 및 과실의 경중과 평소 행실, 근무성적, 공적, 뉘우치는 정도 또는 그 밖의 정상 등을 참작하여 징계수위를 결정하는 것을 말합니다."
35,214522001,임금,노동 일반,근로기준법 적용 ,정직처분을 받은 경우에 임금삭감 시 근로기준법 제95조의 제한을 받나요,귀책사유로 휴직이나 정직 등의 명령을 받아 출근하지 못하여 임금을 지급받지 못하면 이는 징계의 결과로 근로를 제공하지 못한데 따른 것이므로 근로기준법 95조 위반이 아닙니다.
36,214511001,임금,노동 일반,휴가,발생하지 않은 연차를 사용자와 합의 후 미리 사용했는 데 연차발생 전 퇴사 할 경우 미리 사용한 연차는 어떻게 되나요,연차유급휴가를 선사용 한 이후에 선사용한 휴가 발생요건(1년간 80% 이상 출근)을 충족하지 못하고 퇴사하는 경우 연차수당으로 보상하여야 합니다.
37,201389001,해고,해고일반,,해고무효확인의 소에 있어서 유의해야 할 소의 이익,"대법원은 과거의 과거 이루어진 해고의 무효를 구하는 해고무효확인의 소의 경우 그 확인의 대상은 소장의 청구취지에 표시된 대로 과거의 법률관계인 해고의 무효 여부 그 자체로 보아야 할 것이라고 하면서, 다만 ① '근로계약관계에 기한 원래의 지위를 회복하기 위하여' 또는 '해고로 인하여 그 외의 권리 또는 법률상의 지위에 대한 현존하는 위험이나 불안을 제거하기 위하여', ② 위와 같은 과거의 법률행위인 해고에 대하여 무효확인판결을 받는 것이 유효하고도 적절한 수단이 되는 경우에 한하여 확인의 소의 적법요건인 즉시확정의 이익이 있다고 볼 것이라고 하였습니다(1985. 1. 14. 선고 83다카2069 판결 등)."
38,214388001,해고,징계,,빈번한 무단결근으로 근로자에게 시말서 제출을 요구했으나 근로자가 이를 거부하는 경우 징계해도 되나요?,"사용자가 근로관계에서 사고나 비위행위 등을 저지른 근로자에게 시말서 제출을 요구하거나 또는 취업규칙 등에 징계처분을 당한 근로자로 하여금 시말서를 제출하도록 규정되어 있는 경우, 시말서를 제출하지 않는 행위는 그 자체가 사용자의 업무상 정당한 명령을 거부한 것으로 징계사유가 될 수 있습니다(대법 90다12991, 1991.12.24)."
39,213144001,임금,노동 일반,휴일,근로시간면제자가 근로시간면제시간 이외의 휴무일 등에 출근해 근로한 경우 그 임금을 추가로 받을 수 있나요?,"노조법 제24조제4항에 따라 근로시간면제자는 사용자와의 협의·교섭, 고충처리, 산업안전 활동 등 노조법 또는 다른 법률에서 정하는 업무와 건전한 노사관계발전을 위한 노동조합의 유지·관리업무를 근로시간면제한도 내에서 임금 손실 없이 행할 수 있으며, 근로시간면제시간 이외의 휴무일 등에 실질적인 근로를 제공하고 그에 상응하는 임금을 추가로 지급받는 것은 가능합니다. (노사관계법제과-36, 2011.03.04)"
40,200957007,해고,정리해고,,해고된 근로자가 지방노동위원회에 구제신청한 것이 인용되어 사용자가 중앙노동위원회에 재심철 청구하려고 합니다. 신청기간이 얼마나 되나요?,"지방노동위원회의 구제명령 또는 기각결정에 대하여 불복이 있는 사용자, 근로자는 그 명령서 또는 결정서의 송달을 받은 날로부터 10일 이내에 중앙노동위원회에 그 재심을 신청할 수 있습니다(근로기준법 제31조 제1항)."
41,205345001,해고,징계,징계해고,회사 단체협약에는 해고사유로 징계면직과 당연퇴직만 규정되어 있습니다. 그런데 한 직원이 취업규칙에 정해진 직권면직대상이라 취업규칙에 따라 직권면직을 한 경우 이러한 해고가 문제가 없을까요?,"취업규칙은 단체협약의 내용에 어긋나서는 안 됩니다. 따라서 단체협약에서 해고의 사유를 제한적으로 열거한 것이라면 질문과 같은 내용의 취업규칙은 단체협약에 어긋나는 것으로 효력이 없다고 할 것이고, 그에 따른 직권면직처분 또한 무효라고 할 것입니다. 다만 단체협약이 해고사유를 제한적으로 열거한 것이 아니라면 취업규칙에서 보다 구체적으로 해고사유를 규정하여 직권면직을 하는 것이 가능할 수 있습니다."
42,200653001,임금,임금일반,,출장비가 퇴직금산정의 기준이 되는 임금총액에 포함되나요.,출장시 여비나 숙박비 등으로 지급되는 출장비는 사용자가 근로자로부터 근로의 제공을 받기 위하여 당연히 갖추어야 할 기업시설에 갈음하는 실비변상적인 성질을 갖는 것이므로 그것이 월급 중에 포함되어 있다고 하더라도 이는 임금으로 볼 수 없습니다(대법원 1971. 10. 22. 선고 71다1982 판결). 따라서 퇴직금 산정 기준이 되는 임금총액에 포함되지 않습니다.
43,210533002,임금,노동 일반,여성과 소년,"18세 미만자에게 휴일근로를 시키려 하는데, 고용노동부 장관의 인가를 받기 위한 요건이 어떻게 되나요",근로기준법 제70조 제2항에 따른 임산부 및 18세 미만인 자의 야간?휴일근로 인가대상은 근로기준법 제69조 및 제71조의 근로시간 준수가 가능하다고 인정되고 다음 어느 하나에 해당하는 사유의 야간 또는 휴일근로에 한합니다. ①교대제 실시로 인해 야간근로가 불가피할 것 ②운송?방송 등 일상생활에 필수적인 공익사업에 해당하여 야간 또는 휴일근로가 불가피할 것 ③업종의 특성상 야간에 가동하지 않으면 사업의 계속적인 영위가 곤란하여 야간근로가 불가피할 것 ④일시적인 주문량 증가 등으로 야간 또는 휴일근로가 불가피할 것. 다만 위 ①~④에도 불구하고 18세 미만자의 심야시간(24시~익일 6시) 근로는 생계곤란 등으로 불가피하고 사업장 근무실태 및 업무강도를 연소근로자가 감내할 수 있다고 판단되는 경우에 한하여 인가할 수 있습니다.
44,200556001,임금,임금일반,,퇴직일로부터 14일이 경과하기 이전에 회사가 파산선고를 받은 경우에는 회사의 대표이사에게 임금 등 체불로 인한 형사처벌을 묻게 할 수 있나요.,"퇴직금 등 체불로 인한 근로기준법 위반죄는 지급사유 발생일로부터 14일이 경과하는 때에 성립합니다. 따라서 퇴직일로부터 14일 경과 전 회사가 파산선고를 받게 되면 회사 대표이사는 임금, 퇴직금 등 지급 권한을 상실하게 되고 파산관재인에게 권한이 전속하므로 회사의 대표이사에게는 임금 등 체불로 인한 형사처벌을 물을 수 없습니다(대법원 2010. 05. 27. 선고 2009도7722 판결)."
45,213507001,임금,노동 일반,휴가,"해외 법인 근무 발령에 의거 해외주재원으로 근무할 경우 연차유급휴가 부여에 대하여 국내 노동법이 적용되나요, 현지 노동법이 적용되나요?","국내 회사의 해외지사 등이 본사에 종속되어 있는 경우, 국내에서 파견된 근로자는 물론 현지에서 채용한 한국인 근로자도 연차휴가 등 우리나라 근로기준법의 적용을 받습니다."
46,212174001,임금,노동 일반,단시간근로,단시간 근로자의 경우에도 1년 이상 근무 시 퇴직금이 발생하나요,"소정근로시간이 1주 15시간 이상이라면 퇴직금이 발생하나, 소정근로시간을 1주 15시간 미만으로 정한 기간이 포함되어 있다면 그 기간은 퇴직금 산정을 위한 계속근로년수에서 제외합니다."
47,200863001,해고,전출·전적,,전보·전근과 전출·전적의 차이,"전보와 전근은 기업 내부의 인사이동인데 반하여, 전출과 전적은 기업간의 인사이동이라는 점에서 다릅니다."
48,210828001,임금,노동 일반,근로계약,근로자 일반건강진단을 실시하여야 하나요,"일반건강진단은 상시 사용하는 근로자에 대하여 1년에 1회 이상(사무직은 2년 1회이상)실시해야 하므로, 당해 사업장에 채용된 날을 기준으로 1년이내(사무직은 2년 이내) 건강진단을 실시한 결과를 근로자가 제출한 경우에는 실시일로부터 1년이내(사무직 2년이내)에는 실시를 하지 않을 수 있습니다.(산업보건환경팀-991,2006.2.7)"
49,205389001,해고,징계,징계해고,취업규칙에 결근일수가 일정 기준 이상이 되면 징계해고사유로 하고 있습니다. 이러한 규정이 근로기준법에 위반되지는 않지요?,취업규칙 등에 일정기간 중 일정 횟수를 무단결근한 경우 징계해고사유로 규정하는 경우가 많습니다. 이러한 취업규칙 등의 규청은 특별한 사정이 없는 한 근로기준법에 위반되어 무효라고 할 수 없습니다.
50,203947001,해고,징계,징계해고,비위행위란 무엇인가요?,"사용자와 근로자의 관계에서 비위행위란 법령, 취업규칙이나 단체협약 등 근로관계에 있어서 적용되는 규정을 위반한 것 또는 그러한 일을 말합니다."
51,210043002,임금,휴업수당,휴업수당 산정,휴업기간 중 유급휴일인 토요일도 휴업기간에 포함하여 휴업수당을 지급해야 하나요,"휴업은 근로자의 근로제공 의사에도 불구하고 사용자의 귀책에 의해 발생한 것으로 근무하면 지급해야 하는 유급휴일은 휴업기간에 포함되므로 휴업수당을 지급해야 합니다(근로기준과-387, 2009.2.13.)."
52,211756001,임금,노동 일반,외국인 근로자,외국인 근로자를 해고하는 경우 출입국관리법에 따라 고용변동 신고를 해야 하나요,사용자가 비전문취업(E-9) 또는 방문취업(H-2) 체류자격을 가진 외국인근로자를 고용한 경우 외국인을 해고하거나 외국인이 퇴직 또는 사망한 경우가 발생하면 고용변동 등 신고를 해야 합니다(규제「출입국관리법」 제19조제1항 및 규제「출입국관리법 시행령」 제24조제2항).
53,214380001,해고,해고의 구제,,부당해고구제신청을 하였는데 구제명령이 나오기 전에 기간만료로 근로계약이 종료되었다면 부당해고구제신청을 할 수 없나요?,"해고가 부당해고로 인정되지만 노동위원회가 판정하기 이전에 이미 근로계약기간이 종료하였거나 정년기간이 도래하였다는 등의 사유로 근로계약관계가 종료하였다면 부당해고의 구제신청이익이 소멸되므로 구제신청은 각하된다는 것이 판례의 입장이나, 금전보상제도가 도입됨에 따라 기간만료 시점까지 해고된 기간이므로 이에 대해 임금상당액을 보상금으로 인정받을 수 있으므로 구제신청 이익이 인정될 수 있을 것으로 사료됩니다."
