Column1,분류일련번호,백문일련번호,대분류,중분류,백문백답주제명,백문내용,백답간략내용,서비스 시간
10,25,883,가정법률,이혼,상습 도박,"남편이 상습적으로 도박을 해요. 
끊겠다고 각서를 썼는데도 도박을 하더니 얼마 전에는 저 몰래 통장에 든 돈을 다 가져갔어요. 
이제 도저히 참을 수 없는데 재판상 이혼을 할 수 있나요?
",혼인을 계속하기 어려운 중대한 사유가 있을 때에는 재판상 이혼을 청구할 수 있습니다.<br/>혼인을 계속하기 어려운 중대한 사유란<br/>혼인의 본질인 원만한 부부공동생활 관계가 회복될 수 없을 정도로 파탄되어 그 혼인생활의 계속을 강제하는 것이 일방 배우자에게 참을 수 없는 고통이 되는 것을 말합니다.<br/>혼인을 계속하기 어려운 중대한 사유가 있는지는<br/>,2010-10-10 0:00
11,25,888,가정법률,이혼,이혼소송을 당했을 때,"이혼소송을 당했어요. 어떻게 대응해야 하나요?
","이혼소송을 당해 소장 부본을 송달받았다면 30일 이내에 답변서를 제출해야 합니다(공시송달은 제외). 이 기한 내에 답변서를 제출하지 않으면 법원은 피고가 소장에서 상대방이 주장한 내용을 인정한 것으로 보고 변론 없이 원고승소판결을 할 수 있습니다.<br/>이혼을 원하는 경우에는<br/>① 배우자와 합의해서 이혼소송을 취하하고 협의이혼할 수 있으며,<br/>② 답변서를 제출하지 않거나,<br/>",2010-10-10 0:00
12,25,905,가정법률,이혼,자녀의 성(性)과 본(本),"이혼한 후에 자녀의 성과 본을 저의 성과 본으로 바꿀 수 있나요?
","이혼 후 자녀의 성과 본을 자신의 성과 본으로 바꿀 수 있습니다.<br/>◇ 법원 허가<br/>자녀의 복리를 위해 필요한 경우에는 부, 모 또는 자녀가 가정법원에 성(姓)과 본(本)의 변경심판을 청구해서 법원의 허가를 받아 이를 변경할 수 있습니다.<br/>◇ 변경 신고<br/>",2010-10-10 0:00
13,25,890,가정법률,이혼,상대방 재산 확보,"이혼소송 중인데 상대방이 재산을 마음대로 처분해서 나중에 재산분할을 못 받을까 걱정돼요. 
좋은 방법이 있나요?","상대방에게 재산분할이나 위자료를 받아야 할 경우에는 미리 상대방 명의의 재산에 대해 사전처분이나 가압류·가처분신청을 해서 이혼소송 중에 상대방이 임의로 재산을 처분하지 못하도록 할 수 있습니다.<br/>사전처분은 이혼소송을 제기하거나 조정신청을 한 이후에 그 사건을 관할하는 법원에 신청할 수 있지만,<br/>가압류·가처분은 이혼소송과 별도로 신청할 수 있어서 조정신청이나 이혼소송을 하기 전에도 할 수 있습니다.<br/>◇ 사전처분의 유형<br/>",2010-10-10 0:00
14,25,865,가정법률,이혼,협의이혼의 철회,"협의이혼 절차를 진행 중인데 이혼하지 않기로 합의했어요. 
진행 중인 협의이혼을 철회할 수 있나요?
",◇ 가정법원에서<br/>가정법원에 협의이혼의사확인 신청을 한 이후에 이혼의사가 없어졌다면<br/>가정법원으로부터 이혼의사와 친권·양육권에 관한 사항 등을 확인받기 전까지 협의이혼의사확인 신청을 취하하면 됩니다.<br/>부부 일방 또는 쌍방이 출석통지를 받고도 2회에 걸쳐 출석하지 않는 경우에도 협의이혼의사확인 신청을 취하한 것으로 봅니다.<br/>◇ 시청·읍·면사무소에서<br/>,2010-10-10 0:00
15,25,847,가정법률,이혼,이혼 무효,"이혼이 무효로 되는 경우가 있나요?
","재판상 이혼은 재판절차를 거쳐 이혼판결이 선고된 것이므로 무효로 되지 않지만, 협의이혼은 부부 간 합의에 기초하므로 이혼에 관한 부부의 합의가 없다면 이혼이 무효로 될 수 있습니다.<br/>예를 들어, 부부 일방 또는 쌍방이 모르는 사이에 누군가에 의해 이혼신고된 경우는 부부 사이에 이혼에 관한 합의가 없었으므로 이혼무효가 될 수 있습니다.<br/>이혼을 무효로 하려면 관할 가정법원에 이혼무효소송을 제기해야 합니다. 이혼무효판결이 확정되면 그 이혼은 처음부터 없었던 것과 같아지므로 이전의 혼인은 중단 없이 계속된 것으로 됩니다.<br/>",2010-10-10 0:00
16,25,874,가정법률,이혼,유기,"남편이 툭하면 집을 나가 몇 달씩 안 들어옵니다. 남편을 상대로 이혼을 청구할 수 있나요?
",배우자가 악의(惡意)로 다른 일방을 유기(遺棄)한 때에는 재판상 이혼을 청구할 수 있습니다.<br/>배우자의 악의의 유기란<br/>배우자가 정당한 이유 없이 부부의 의무인 동거·부양·협조의무를 이행하지 않는 것을 말합니다. 악의의 유기는 개개의 구체적인 사안에 따라 그 정도와 상황을 고려해서 평가됩니다.<br/>배우자의 상습적인 가출이 악의의 유기라고 판단되면 재판상 이혼을 청구할 수 있습니다.<br/>,2010-10-10 0:00
17,25,889,가정법률,이혼,재판상 이혼 절차,재판상 이혼 절차는 어떻게 되나요?,"재판상 이혼을 하려면<br/>먼저 가정법원에 조정신청을 해서 조정절차를 거쳐야 합니다.<br/>조정이 성립되면 이혼이 성립되지만, 그렇지 않은 경우에는 소송절차로 이행되어 이혼소송이 진행됩니다.<br/>이혼소송은 [부부 쌍방의 변론 -&gt; 법원의 판결 -&gt; 재판의 확정일로부터 1개월 이내에 등록기준지 또는 주소지 관할 시청·구청·읍사무소 또는 면사무소에 이혼신고(부부 중 일방이 신고함)]<br/>",2010-10-10 0:00
18,25,886,가정법률,이혼,재판상 이혼 절차,"재판상 이혼 절차는 어떻게 되나요?
","재판상 이혼을 하려면<br/>먼저 가정법원에 조정신청을 해서 조정절차를 거쳐야 합니다.<br/>조정이 성립되면 이혼이 성립되지만, 그렇지 않은 경우에는 소송절차로 이행되어 이혼소송이 진행됩니다.<br/>이혼소송은<br/>[부부 쌍방의 변론 -&gt; 법원의 판결 -&gt; 재판의 확정일로부터 1개월 이내에 등록기준지 또는 주소지 관할 시청·구청·읍사무소 또는 면사무소에 이혼신고(부부 중 일방이 신고함)]<br/>",2010-10-10 0:00
19,25,897,가정법률,이혼,위자료 받아내기,"위자료로 2천만원을 주라는 법원의 판결에도 불구하고 상대방이 위자료를 주지 않고 있어요. 어떻게 해야 위자료를 받아낼 수 있을까요?
",◇ 이행명령 신청<br/>상대방이 위자료 지급판결을 받고도 위자료를 주지 않으면 가정법원에 이행명령을 신청해서 위자료를 받을 수 있습니다.<br/>◇ 강제경매 신청<br/>강제집행을 통해 위자료를 받을 수도 있습니다. 이는 위자료지급의무자 소유의 재산에 대해 관할 법원에 강제경매를 신청한 후 경매대금에서 위자료를 충당하는 방법으로써 시일이 걸릴 수 있습니다.<br/>,2010-10-10 0:00
20,25,857,가정법률,이혼,외국에서의 협의이혼,"남편이 외국에 있는데 협의이혼을 진행할 수 있나요?
","이 경우 협의이혼의사확인은 국내에 있는 배우자가 신청할 수도 있고, 외국에 있는 배우자가 신청할 수도 있습니다.<br/>국내에 있는 배우자가 진행할 경우에는 가정법원에 협의이혼의사확인을 신청하면 되며, 외국에 있는 배우자가 진행할 경우에는 재외공관에 협의이혼의사확인을 신청하면 됩니다.<br/>가정법원으로부터 협의이혼의사확인서 등본을 교부·송달받으면 그로부터 3개월 이내에 국내에 있는 상대방이 자신의 등록기준지 또는 주소지 관할 시청·구청·읍사무소 또는 면사무소에 이혼신고서를 제출하거나, 외국에 있는 배우자가 관할 재외공관에 이혼신고서를 제출하면 이혼이 성립됩니다.<br/>",2014-10-15 11:11
21,25,903,가정법률,이혼,양육비의 부담,"이혼하면 아이의 양육비는 누가 부담하나요?
","자녀의 양육비는 부부가 공동으로 부담하는 것이 원칙이므로 양육자는 상대방에게 상대방의 부담 몫만큼 양육비를 청구할 수 있습니다. 양육비는 부부가 합의해서 정할 수 있으며, 합의가 이루어지지 않으면 법원에 청구해서 정할 수 있습니다.<br/>양육비를 정한 이후 교육비 증가 등 사정이 변경된 경우에는 당사자가 합의하거나 법원에 청구해서 양육비를 변경할 수 있습니다.<br/>양육비는 지급 방법과 형식에 제한이 없으므로 한꺼번에 받을 수도 있고, 부동산 등 실물로 받을 수도 있습니다.<br/>",2010-10-10 0:00
22,25,901,가정법률,이혼,친권자ㆍ양육자의 변경,"이혼할 때 정한 친권자 및 양육자를 나중에 변경할 수 있나요?
","이혼 당시 자녀의 친권자와 양육자를 정했더라도 자녀의 복리를 위해 필요한 경우에는 친권자 및 양육자를 변경할 수 있습니다.<br/>친권자 변경을 위해서는 가정법원에 친권자 지정변경청구를 해야 합니다.<br/>양육자 변경은 당사자 간의 합의로 할 수 있으며, 합의가 이루어지지 않으면 가정법원에 지정변경청구를 해야 합니다.<br/>",2010-10-10 0:00
23,25,894,가정법률,이혼,재산분할과 위자료,"이혼 시 재산은 어떻게 처리되나요?
",◇ 재산분할<br/>이혼할 때는 혼인 중 부부가 공동으로 형성한 재산은 분할받을 수 있습니다.<br/>이혼 시 재산분할에 관한 합의가 이루어지지 않으면 재산분할청구소송을 제기해서 재산분할을 받을 수 있습니다.<br/>재산분할은 혼인을 파탄에 이르게 한 배우자도 청구할 수 있습니다.<br/>재산분할청구권의 행사기간<br/>,2010-10-10 0:00
24,25,899,가정법률,이혼,이혼 시 자녀와의 관계,"이혼하면 저와 자녀와의 신분관계에 변화가 있나요?
","이혼 후에도 부모와 자녀 사이의 혈연관계는 변하지 않으므로 자녀와의 신분관계는 변화가 없습니다.<br/>다만, 이혼하면 자녀에 대한 친권과 양육권을 행사할 사람을 부부간 합의 또는 법원의 판단으로 정하게 됩니다(친권자와 양육자가 반드시 일치하는 것은 아니며, 제3자를 양육자로 할 수도 있습니다).<br/>양육권이 없는 부모는 자녀를 만나거나 전화 등으로 자녀와 접촉할 수 있는 권리인 면접교섭권을 가집니다. 또한, 양육권이 없다 하더라도 부모의 권리와 의무에 변경을 가져오는 것은 아니므로 미성년 또는 피성년후견인인 자녀의 혼인에 대한 동의, 상속관계 등이 그대로 유지됩니다.<br/>",2014-05-08 11:52
25,25,909,가정법률,이혼,사실혼 관계 해소와 양육비,"동거 중인데 헤어지기로 합의했어요. 둘 사이에 아이가 있는데 헤어진 후 아이의 아빠에게 양육비를 받을 수 있나요?
","사실혼 부부 사이에서 태어난 자녀는 ‘혼인 외의 출생자’로서 아버지와 법적 관계가 없기 때문에 사실혼 관계가 해소되면 아버지에게 자녀의 양육비를 청구할 수 없습니다.<br/>그러나 아버지가 자녀를 친생자(親生子)로 신고(다만, 모가 특정됨에도 불구하고 부가 본문에 따른 신고를 함에 있어 모의 소재불명 또는 모가 정당한 사유 없이 출생신고에 필요한 서류 제출에 협조하지 아니하는 등의 장애가 있는 경우에는 부의 등록기준지 또는 주소지를 관할하는 가정법원의 확인을 받아 신고를 할 수 있음)하거나, 자녀 등이 인지청구소송을 제기해서 인용판결이 확정된 때에는 아버지에게 자녀의 양육 문제에 대한 법적 책임이 발생하므로 아버지에 대해 양육비를 청구할 수 있습니다.<br/>",2021-07-09 10:14
26,25,904,가정법률,이혼,양육비 받아내기,"이혼할 때 남편이 양육비를 매달 50만원씩 주라는 법원의 판결이 있었는데 양육비를 한 번도 주지 않았어요. 
어떻게 해야 양육비를 받을 수 있을까요?
","◇ 양육비 직접지급명령을 신청<br/>양육비지급의무가 있는 상대방이 정당한 사유 없이 양육비를 2회 이상 주지 않으면 가정법원에 양육비 직접지급명령을 신청해서 상대방의 급여에서 공제하는 방식으로 양육비를 받을 수 있습니다.<br/>◇ 담보제공명령을 신청, 양육비 일시금지급명령을 신청<br/>또한, 양육비의 이행을 확보하기 위해 가정법원에 담보제공명령을 신청할 수 있습니다, 담보제공명령을 받은 상대방(양육비채무자)이 정해진 기간 내에 담보를 제공하지 않는 경우에는 양육비 일시금지급명령을 신청해서 양육비를 받을 수 있습니다.<br/>",2010-10-10 0:00
27,25,866,가정법률,이혼,바람난 남편,"남편이 바람을 피웠어요. 
이혼해 달랬더니 이혼은 절대 안 된다며 완강히 거부합니다. 
전 정말 이혼할 수 없는 건가요?
","배우자에게 부정(不貞)한 행위가 있다면 재판상 이혼을 청구할 수 있습니다.<br/>배우자의 부정행위란<br/>혼인한 이후에 부부 일방이 자유로운 의사로 부부의 정조의무, 성적 순결의무를 충실히 하지 않은 일체의 행위를 말하는 것으로 성관계를 전제로 하는 간통보다 넓은 개념입니다.<br/>부정행위인지는 개개의 구체적인 사안에 따라 그 정도와 상황을 고려해서 평가됩니다.<br/>",2010-10-10 0:00
28,25,908,가정법률,이혼,사실혼 관계 해소와 위자료,"동거 중인데 갑자기 헤어지자는 통보를 받았어요. 사실혼인 경우에도 위자료를 받을 수 있나요?
","위자료를 받을 수 있습니다.<br/>사실혼은 부부간 합의 또는 부부 어느 한 쪽의 일방적인 파기에 의해 해소될 수 있습니다.<br/>이 때 정당한 사유(「민법」 제840조에 준하는 사유) 없이 일방적으로 사실혼을 파기한 배우자 또는 사실혼 파탄의 원인을 제공한 제3자(예를 들어, 배우자의 부모 등)에게 위자료를 청구할 수 있습니다.<br/>위자료에 관한 합의가 이루어지지 않으면 법원에 위자료청구소송을 제기해서 위자료를 받을 수 있습니다.<br/>",2010-10-10 0:00
29,25,906,가정법률,이혼,사실혼 관계 해소와 재산분할,"2년 넘게 동거해 오고 있는데 헤어지자는 이야기를 들었어요. 그 동안 둘이 모은 재산이 꽤 되는데 헤어지면 재산분할을 받을 수 있나요?
","재산을 분할받을 수 있습니다.<br/>판례는 사실혼 관계를 유지하는 동안 부부가 공동으로 재산을 형성하고, 재산의 유지·증식에 기여했다면 그 재산은 부부의 공동소유로 보아 재산분할을 받을 수 있는 것으로 보고 있습니다.<br/>재산분할청구는 위자료와 달리 사실혼 해소에 책임이 있는 배우자도 할 수 있습니다.<br/>",2010-10-10 0:00
30,25,849,가정법률,이혼,이혼 취소,"이혼이 취소될 수 있나요?
","재판상 이혼은 재판절차를 거쳐 이혼판결이 선고된 것이므로 취소될 수 없지만, 협의이혼은 부부간 자유로운 의사에 따른 합의에 기초하므로 사기 또는 강박(强迫)으로 인해 이혼의 의사표시를 했다면 이혼이 취소될 수 있습니다.<br/>이혼을 취소하려면 관할 가정법원에 이혼취소소송을 제기해야 합니다.<br/>이혼취소판결이 확정되면 그 이혼은 처음부터 없었던 것과 같아지므로 취소판결 전에 다른 일방이 재혼했다면 그 재혼은 중혼(重婚)이 됩니다.<br/>",2010-10-10 0:00
31,25,855,가정법률,이혼,호적 상태,"이혼사실이 호적에 남나요?
","혼인관계증명서에 이혼기록이 남아 있습니다.<br/>기존의 호적부는 2008년 1월 1일부터 가족관계등록부로 대체되었습니다.<br/>가족관계등록부는<br/>① 가족관계증명서,<br/>② 기본증명서,<br/>",2010-10-10 0:00
32,25,895,가정법률,이혼,유책배우자의 재산분할청구,"아내가 바람을 피워서 이혼하게 됐어요. 
아내가 재산을 분할해 달라고 하는데 말도 안 된다고 생각해요. 이혼원인을 제공한 사람도 재산분할청구를 할 수 있나요?
","바람을 피운 유책배우자도 재산분할청구를 할 수 있습니다.<br/>◇ 재산분할청구권<br/>재산분할은 혼인 중 쌍방의 협력으로 형성된 공동재산의 청산이라는 점에서 이혼의 책임이 누구에게 있는지에 관계없이 부부 일방이 상대방에게 청구할 수 있는 권리입니다.<br/>그러나 위자료는 재산분할과 달리 정신적 손해에 대한 배상이므로, 혼인을 파탄에 이르게 한 책임이 있는 유책배우자는 위자료를 청구할 수 없습니다.<br/>",2010-10-10 0:00
33,25,846,가정법률,이혼,이혼의 준비,"이혼을 결심했어요. 미리 알아두거나 준비할 사항이 있나요?
","협의이혼은 재산, 자녀 등 이혼 관련 문제를 부부가 합의해서 정하는 경우가 많지만, 재판상 이혼은 이런 문제를 대부분 재판으로 해결하므로 다음 사항을 미리 준비해서 대처하는 것이 좋습니다.<br/>1. 이혼에 이르게 된 사실관계의 정리<br/>2. 부정행위를 찍은 사진, 진단서 등 관련 증거의 수집<br/>3. 재산상태의 파악 및 이에 대한 보전처분<br/>",2010-10-10 0:00
34,25,864,가정법률,이혼,이혼숙려기간,"법원에 협의이혼신청을 하면 바로 이혼이 되나요?
",협의이혼을 하려면 가정법원의 이혼 안내를 받은 날부터 다음의 이혼숙려기간이 지나야만 협의이혼의사의 확인을 받아 이혼신고할 수 있습니다.<br/>1. 양육해야 할 자녀가 있는 경우: 3개월<br/>2. 그 밖의 경우: 1개월<br/>그러나 폭력으로 인해 당사자 일방에게 참을 수 없는 고통이 예상되는 등 이혼해야 할 급박한 사정이 있는 경우에는 이 기간이 단축되거나 면제될 수 있습니다.<br/>,2010-10-10 0:00
35,25,898,가정법률,이혼,친권과 양육권,"이혼 시 친권과 양육권은 어떻게 처리되나요?
","미성년인 자녀의 신분과 재산에 관한 사항을 정할 수 있는 부모의 권리인 친권은 혼인 중에는 부부가 공동으로 행사하지만, 이혼하면 친권자를 지정해야 합니다. 협의이혼을 할 때 친권자 지정에 관한 합의가 이루어지지 않으면 법원에 친권자 지정을 해 줄 것을 청구할 수 있습니다(재판상 이혼의 경우는 부부의 합의 없이 가정법원이 직권으로 친권자를 정함).<br/>또한, 미성년인 자녀의 양육에 필요한 사항을 결정할 수 있는 부모의 권리인 양육권은 혼인 중에는 부부가 공동으로 행사하지만, 이혼하면 양육자 및 양육에 관한 사항을 정해야 합니다. 이에 관한 합의가 이루어지지 않으면 법원에 양육사항에 관한 결정을 해줄 것을 청구할 수 있습니다.<br/>",2010-10-10 0:00
36,25,907,가정법률,이혼,첩 관계 해소와 재산분할,"본처가 있는 사람과 동거 중인데 헤어지자는 이야기를 들었어요. 헤어질 때 남편의 재산을 분할받을 수 있나요?
","재산을 분할받을 수 없습니다.<br/>판례는 법률혼 부부가 장기간 별거하는 등의 이유로 사실상 이혼상태에 있으면서 부부 일방이 제3자와 혼인할 의사로 실질적인 혼인생활을 하고 있더라도, 특별한 사정이 없는 한 이를 사실혼으로 인정해서 법률혼에 준하는 보호를 허용할 수는 없다고 보고 있습니다.<br/>",2010-10-10 0:00
37,25,856,가정법률,이혼,협의이혼 절차,"협의이혼 절차는 어떻게 되나요?
",협의이혼은 [부부의 이혼합의 → 가정법원에 협의이혼의사확인의 신청 → 가정법원의 이혼안내 및 이혼숙려기간의 진행 → 가정법원의 이혼의사·양육 및 친권에 관한 사항의 확인 및 확인서 등의 작성·교부 → 가정법원의 이혼의사확인서 등본을 교부·송달받은 날로부터 3개월 이내에 등록기준지 또는 주소지 관할 시청·구청·읍사무소 또는 면사무소에 이혼신고(부부 중 일방이 신고함)]의 순으로 진행됩니다.<br/>,2010-10-10 0:00
38,25,913,가정법률,재혼,전 배우자의 상속,"자녀를 데리고 재혼했는데 전(前) 배우자가 사망했어요. 이 자녀가 전 배우자의 재산을 상속받을 수 있나요?
",재혼하면서 전혼(前婚) 자녀를 데리고 왔더라도 그 자녀를 입양하지 않거나 일반양자로 입양한 경우에는 전 배우자와 전혼 자녀 사이에 친생(親生) 관계가 그대로 존속되기 때문에 전혼 자녀는 전 배우자의 상속인이 되어 상속받을 수 있습니다.<br/>그러나 재혼 후 전혼 자녀를 재혼 배우자의 친양자로 입양한 경우에는 전 배우자와의 친자관계가 종료되기 때문에 전혼 자녀는 전 배우자의 상속인이 될 수 없습니다.<br/>,2010-10-10 0:00
39,25,912,가정법률,재혼,전혼 자녀와 재혼 배우자와의 관계,"자녀를 데리고 재혼합니다. 이 자녀가 재혼하는 배우자의 자녀로 인정받을 수 있나요?
",전혼(前婚) 자녀를 재혼 배우자의 친양자로 입양하면 재혼 배우자와 전혼 자녀 사이에 친자관계가 발생하므로 재혼 배우자의 자녀로 인정받을 수 있습니다.<br/>,2010-10-10 0:00
40,25,914,가정법률,재혼,재혼 배우자의 상속,"자녀를 데리고 재혼했는데 재혼 배우자가 사망했어요. 제가 데려온 자녀가 재혼 배우자의 재산을 상속받을 수 있나요?
","재혼해서 전혼(前婚) 자녀를 재혼 배우자의 친양자 또는 일반양자로 입양한 경우에는 재혼 부부와 전혼 자녀 사이에 친자관계가 발생하므로 그 자녀는 재혼 배우자의 상속인이 되어 상속받을 수 있습니다.<br/>그러나 재혼 후 전혼 자녀를 재혼 배우자의 양자로 입양하지 않은 경우에는 재혼 배우자와 그 자녀 사이에 친자관계가 존재하지 않기 때문에 전혼 자녀는 재혼 배우자의 상속인이 될 수 없습니다.<br/>☞ 결국, 재혼 후 전혼 자녀를 재혼 배우자의 일반양자로 입양한 경우에 재혼 자녀는 재혼 배우자와 전 배우자 모두의 1순위 상속인이 됩니다.<br/>",2010-10-10 0:00
